E 0x107c27810 0x107c27676 1129177.739679000
E 0x107c27700 0x107c27849 1129177.739680000
X 0x107c27700 0x107c27849 1129177.739680000
X 0x107c27810 0x107c27676 1129177.739680000
E 0x107c273d0 0x107c27641 1129177.739681000
X 0x107c273d0 0x107c27641 1129177.739681000
E 0x107c27350 0x107c2764d 1129177.739682000
X 0x107c27350 0x107c2764d 1129177.739682000
E 0x107c27810 0x107c27676 1129177.739682000
E 0x107c27700 0x107c27849 1129177.739683000
X 0x107c27700 0x107c27849 1129177.739683000
X 0x107c27810 0x107c27676 1129177.739684000
E 0x107c273d0 0x107c27641 1129177.739684000
X 0x107c273d0 0x107c27641 1129177.739685000
E 0x107c27350 0x107c2764d 1129177.739685000
X 0x107c27350 0x107c2764d 1129177.739685000
E 0x107c27810 0x107c27676 1129177.739686000
E 0x107c27700 0x107c27849 1129177.739686000
X 0x107c27700 0x107c27849 1129177.739687000
X 0x107c27810 0x107c27676 1129177.739689000
E 0x107c273d0 0x107c27641 1129177.739690000
X 0x107c273d0 0x107c27641 1129177.739690000
E 0x107c27350 0x107c2764d 1129177.739690000
X 0x107c27350 0x107c2764d 1129177.739691000
E 0x107c27810 0x107c27676 1129177.739691000
E 0x107c27700 0x107c27849 1129177.739691000
X 0x107c27700 0x107c27849 1129177.739692000
X 0x107c27810 0x107c27676 1129177.739692000
E 0x107c273d0 0x107c27641 1129177.739693000
X 0x107c273d0 0x107c27641 1129177.739693000
E 0x107c27350 0x107c2764d 1129177.739694000
X 0x107c27350 0x107c2764d 1129177.739694000
E 0x107c27810 0x107c27676 1129177.739694000
E 0x107c27700 0x107c27849 1129177.739695000
X 0x107c27700 0x107c27849 1129177.739695000
X 0x107c27810 0x107c27676 1129177.739696000
E 0x107c273d0 0x107c27641 1129177.739696000
X 0x107c273d0 0x107c27641 1129177.739696000
E 0x107c27350 0x107c2764d 1129177.739697000
X 0x107c27350 0x107c2764d 1129177.739697000
E 0x107c27810 0x107c27676 1129177.739698000
E 0x107c27700 0x107c27849 1129177.739698000
X 0x107c27700 0x107c27849 1129177.739698000
X 0x107c27810 0x107c27676 1129177.739699000
E 0x107c273d0 0x107c27641 1129177.739699000
X 0x107c273d0 0x107c27641 1129177.739700000
E 0x107c27350 0x107c2764d 1129177.739700000
X 0x107c27350 0x107c2764d 1129177.739701000
E 0x107c27810 0x107c27676 1129177.739701000
E 0x107c27700 0x107c27849 1129177.739701000
X 0x107c27700 0x107c27849 1129177.739702000
X 0x107c27810 0x107c27676 1129177.739702000
E 0x107c273d0 0x107c27641 1129177.739703000
